41642578,6/24/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,10,A,6/24/14,6/6/16,Cycle Inspection / Re-inspection
50002789,6/10/15,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,C,6/10/15,6/6/16,Cycle Inspection / Reopening Inspection
50003976,1/29/14,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,38,A,7/10/13,6/6/16,Pre-permit (Operational) / Initial Inspection
41148105,2/7/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,2/7/15,6/6/16,Cycle Inspection / Initial Inspection
41648461,7/16/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,8/21/13,6/6/16,Cycle Inspection / Initial Inspection
41166360,2/6/16,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,2/6/16,6/6/16,Cycle Inspection / Re-inspection
40387825,9/28/15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,62,A,10/9/13,6/6/16,Cycle Inspection / Initial Inspection
41626009,11/6/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,20,,,6/6/16,Cycle Inspection / Initial Inspection
50013782,8/26/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,B,6/3/13,6/6/16,Pre-permit (Operational) / Initial Inspection
50041343,11/2/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,57,A,11/28/14,6/6/16,Pre-permit (Operational) / Initial Inspection
50010598,2/17/15,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140_ F to 70_ F or less within 2 hours, and from 70_ F to 41_ F or less within 4 additional hours.",Critical,17,A,3/4/16,6/6/16,Cycle Inspection / Initial Inspection
41100597,6/7/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,B,12/18/14,6/6/16,Cycle Inspection / Initial Inspection
40387243,4/4/13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,4/9/14,6/6/16,Cycle Inspection / Initial Inspection
41467627,4/9/13,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,7,A,2/1/16,6/6/16,Cycle Inspection / Initial Inspection
41529719,5/27/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,5/27/15,6/6/16,Cycle Inspection / Re-inspection
40814991,1/7/13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,1/7/13,6/6/16,Cycle Inspection / Re-inspection
41548669,1/28/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,1/28/15,6/6/16,Cycle Inspection / Re-inspection
41626426,1/14/14,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,32,A,6/27/13,6/6/16,Cycle Inspection / Initial Inspection
41427358,6/11/13,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,6/11/13,6/6/16,Cycle Inspection / Initial Inspection
40661232,10/15/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,10/15/15,6/6/16,Cycle Inspection / Re-inspection
41305028,8/20/14,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,32,C,8/6/14,6/6/16,Cycle Inspection / Initial Inspection
50035866,6/1/15,No violations were recorded at the time of this inspection.,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Applicable,0,A,2/20/14,6/6/16,Pre-permit (Non-operational) / Initial Inspection
41163361,12/10/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,12/10/14,6/6/16,Cycle Inspection / Re-inspection
41418789,3/6/14,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,9,A,3/6/14,6/6/16,Cycle Inspection / Re-inspection
40376944,2/25/14,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27,B,2/25/14,6/6/16,Cycle Inspection / Re-inspection
50005490,4/12/14,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,13,A,4/3/14,6/6/16,Smoke-Free Air Act / Initial Inspection
