41637852,7/3/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,7,A,7/3/14,6/6/16,Cycle Inspection / Re-inspection
41294954,10/17/14,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,21,A,3/1/14,6/6/16,Cycle Inspection / Initial Inspection
40748329,3/12/15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,3/12/15,6/6/16,Cycle Inspection / Initial Inspection
41598232,1/14/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,17,A,4/18/13,6/6/16,Cycle Inspection / Initial Inspection
41486245,5/11/15,No violations were recorded at the time of this inspection.,10J,''''Wash hands sign not posted at hand wash facility.,Not Applicable,35,,,6/6/16,Administrative Miscellaneous / Initial Inspection
41643870,11/6/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14,B,11/6/14,6/6/16,Cycle Inspection / Re-inspection
40792980,5/21/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,5/21/15,6/6/16,Cycle Inspection / Re-inspection
50004444,1/12/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,33,B,12/23/13,6/6/16,Cycle Inspection / Initial Inspection
41486245,8/24/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,8/24/15,6/6/16,Cycle Inspection / Re-inspection
50032619,2/13/15,No violations were recorded at the time of this inspection.,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Not Applicable,0,B,6/5/13,6/6/16,Pre-permit (Non-operational) / Initial Inspection
50015312,6/22/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,B,6/22/15,6/6/16,Cycle Inspection / Re-inspection
40910784,9/24/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,18,A,5/12/16,6/6/16,Cycle Inspection / Initial Inspection
41316400,6/24/13,Establishment re-opened by DOHMH,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,10,A,9/26/14,6/6/16,Administrative Miscellaneous / Reopening Inspection
41578669,9/30/13,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,9/30/13,6/6/16,Cycle Inspection / Re-inspection
40861103,5/30/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,13,A,5/30/15,6/6/16,Cycle Inspection / Re-inspection
41525492,8/29/14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,56,C,8/29/14,6/6/16,Cycle Inspection / Re-inspection
