41335039,6/21/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,24,B,6/21/14,6/6/16,Cycle Inspection / Re-inspection
41016607,3/19/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,A,6/12/14,6/6/16,Cycle Inspection / Initial Inspection
50033736,10/26/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,13,A,10/26/15,6/6/16,Cycle Inspection / Re-inspection
50036723,3/2/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,A,11/4/15,6/6/16,Cycle Inspection / Initial Inspection
41177613,11/20/13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,23,B,1/15/14,6/6/16,Cycle Inspection / Initial Inspection
50011649,10/20/14,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,10,A,4/14/14,6/6/16,Administrative Miscellaneous / Initial Inspection
40367377,4/17/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,4/17/14,6/6/16,Cycle Inspection / Re-inspection
41459932,6/18/13,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Applicable,0,P,6/18/13,6/6/16,Cycle Inspection / Reopening Inspection
40383825,2/12/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,2/12/13,6/6/16,Cycle Inspection / Re-inspection
41542821,5/15/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,6/6/16,Cycle Inspection / Initial Inspection
40912964,10/16/12,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,10/16/12,6/6/16,Cycle Inspection / Initial Inspection
41306360,3/9/15,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,A,3/9/15,6/6/16,Cycle Inspection / Re-inspection
40688834,7/10/14,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,41,A,2/3/15,6/6/16,Cycle Inspection / Initial Inspection
41418978,4/15/13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,54,C,8/11/15,6/6/16,Cycle Inspection / Initial Inspection
50011359,9/17/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,5/17/14,6/6/16,Pre-permit (Operational) / Compliance Inspection
41137340,3/4/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,3/4/15,6/6/16,Cycle Inspection / Re-inspection
50009639,5/2/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,3/6/14,6/6/16,Pre-permit (Non-operational) / Initial Inspection
41710719,9/10/13,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,24,,,6/6/16,Administrative Miscellaneous / Initial Inspection
41638021,1/20/15,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,29,A,7/3/14,6/6/16,Cycle Inspection / Initial Inspection
41324916,10/6/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,10/6/14,6/6/16,Cycle Inspection / Re-inspection
50002690,1/7/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,1/7/16,6/6/16,Cycle Inspection / Re-inspection
41592302,11/28/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,11/28/14,6/6/16,Cycle Inspection / Re-inspection
41504766,5/28/14,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,Critical,28,C,5/28/14,6/6/16,Cycle Inspection / Re-inspection
41345374,6/11/13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/11/13,6/6/16,Cycle Inspection / Initial Inspection
