41497832,10/14/15,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,17,C,2/19/13,6/6/16,Cycle Inspection / Initial Inspection
50004615,4/14/15,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,27,A,3/10/14,6/6/16,Smoke-Free Air Act / Initial Inspection
50001146,2/10/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,A,5/13/13,6/6/16,Cycle Inspection / Initial Inspection
40726044,3/19/13,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,25,B,6/4/13,6/6/16,Cycle Inspection / Initial Inspection
41272136,8/28/13,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,8/28/13,6/6/16,Cycle Inspection / Re-inspection
41336125,4/8/14,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,32,A,11/14/15,6/6/16,Cycle Inspection / Initial Inspection
41611717,10/10/13,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,31,C,10/10/13,6/6/16,Cycle Inspection / Re-inspection
41444302,5/10/16,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,11,A,5/10/16,6/6/16,Cycle Inspection / Initial Inspection
40396381,7/24/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,A,3/27/13,6/6/16,Cycle Inspection / Initial Inspection
41589635,9/20/13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14,A,10/23/13,6/6/16,Cycle Inspection / Initial Inspection
