41641108,8/17/13,Violations were cited in the following area(s).,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",Not Critical,23,,,6/6/16,Calorie Posting / Compliance Inspection
41385081,10/27/15,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,25,A,9/4/13,6/6/16,Cycle Inspection / Initial Inspection
41176514,4/9/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4/9/14,6/6/16,Cycle Inspection / Re-inspection
41094546,3/29/16,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,63,A,12/4/14,6/6/16,Trans Fat / Initial Inspection
41644006,3/8/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,A,1/9/14,6/6/16,Cycle Inspection / Initial Inspection
41509909,9/2/15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,9,A,9/2/15,6/6/16,Cycle Inspection / Initial Inspection
50002696,1/20/15,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,30,C,1/20/15,6/6/16,Cycle Inspection / Re-inspection
41361603,1/28/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,1/28/15,6/6/16,Cycle Inspection / Initial Inspection
50012784,8/18/14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,8/18/14,6/6/16,Pre-permit (Operational) / Re-inspection
40677193,2/22/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,16,A,7/14/14,6/6/16,Cycle Inspection / Initial Inspection
40797452,1/8/15,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,9,A,2/8/16,6/6/16,Administrative Miscellaneous / Initial Inspection
41126295,10/16/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,,,6/6/16,Cycle Inspection / Initial Inspection
41555969,3/27/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,A,1/29/16,6/6/16,Cycle Inspection / Initial Inspection
41537509,1/16/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,1/16/14,6/6/16,Cycle Inspection / Re-inspection
41611968,12/11/14,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,27,B,12/11/14,6/6/16,Cycle Inspection / Re-inspection
41647521,10/1/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,24,B,10/1/13,6/6/16,Cycle Inspection / Re-inspection
41554491,3/12/16,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,54,,,6/6/16,Cycle Inspection / Initial Inspection
41591603,8/19/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,9,A,8/19/14,6/6/16,Cycle Inspection / Re-inspection
50008665,4/1/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,10,A,4/1/15,6/6/16,Cycle Inspection / Re-inspection
41583233,6/5/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,12,A,6/5/14,6/6/16,Cycle Inspection / Initial Inspection
41577696,2/12/15,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,23,A,5/20/16,6/6/16,Cycle Inspection / Initial Inspection
41463477,4/2/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,4/2/14,6/6/16,Cycle Inspection / Initial Inspection
50002675,4/22/15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,28,A,10/8/14,6/6/16,Cycle Inspection / Initial Inspection
41172672,7/9/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,30,A,3/21/13,6/6/16,Cycle Inspection / Initial Inspection
40514147,5/9/13,Violations were cited in the following area(s).,03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,34,,,6/6/16,Cycle Inspection / Initial Inspection
40659197,8/20/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,B,4/16/15,6/6/16,Cycle Inspection / Initial Inspection
50001261,6/19/13,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,18,A,4/28/14,6/6/16,Pre-permit (Operational) / Initial Inspection
50005249,3/29/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,39,A,10/28/14,6/6/16,Cycle Inspection / Initial Inspection
41603865,5/1/13,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,5/1/13,6/6/16,Cycle Inspection / Re-inspection
41622592,6/16/15,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,A,6/16/15,6/6/16,Cycle Inspection / Re-inspection
41706130,3/28/13,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,15,A,4/23/15,6/6/16,Cycle Inspection / Initial Inspection
41415808,4/17/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,4/17/13,6/6/16,Cycle Inspection / Re-inspection
