40982756,5/19/14,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,10,A,5/19/14,6/6/16,Cycle Inspection / Re-inspection
41372269,8/27/15,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27,B,6/11/15,6/6/16,Cycle Inspection / Initial Inspection
40987693,3/8/14,Violations were cited in the following area(s).,15I,''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted,Not Critical,16,,,6/6/16,Smoke-Free Air Act / Initial Inspection
41612269,11/22/13,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,22,B,3/4/13,6/6/16,Cycle Inspection / Initial Inspection
41453046,10/1/13,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,10/1/13,6/6/16,Cycle Inspection / Re-inspection
41706169,1/21/15,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,12,A,2/19/16,6/6/16,Administrative Miscellaneous / Re-inspection
40786301,5/9/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,43,A,5/21/15,6/6/16,Cycle Inspection / Initial Inspection
40812317,12/4/15,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9,A,12/4/15,6/6/16,Cycle Inspection / Re-inspection
41568669,8/13/13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,8/13/13,6/6/16,Cycle Inspection / Initial Inspection
41695529,4/17/15,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,29,A,6/6/14,6/6/16,Smoke-Free Air Act / Re-inspection
50000098,6/3/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,6/3/15,6/6/16,Cycle Inspection / Re-inspection
40565165,4/24/13,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,28,,,6/6/16,Cycle Inspection / Initial Inspection
41477077,10/3/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/3/14,6/6/16,Cycle Inspection / Re-inspection
50001489,6/6/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,A,3/29/16,6/6/16,Cycle Inspection / Initial Inspection
41691671,10/26/15,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,18,A,4/1/14,6/6/16,Cycle Inspection / Initial Inspection
50008717,5/11/15,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,0,A,9/17/13,6/6/16,Cycle Inspection / Initial Inspection
50033472,5/24/16,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,55,B,7/30/13,6/6/16,Cycle Inspection / Initial Inspection
50036648,9/15/15,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,B,9/15/15,6/6/16,Cycle Inspection / Re-inspection
40402266,6/13/13,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,6/13/13,6/6/16,Cycle Inspection / Re-inspection
41543410,11/6/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,31,A,4/28/14,6/6/16,Cycle Inspection / Initial Inspection
41117663,3/4/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,9,A,12/7/15,6/6/16,Cycle Inspection / Initial Inspection
41424610,11/6/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,A,4/2/14,6/6/16,Cycle Inspection / Initial Inspection
41248584,3/29/16,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,14,B,12/16/13,6/6/16,Administrative Miscellaneous / Initial Inspection
40390185,4/3/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,Z,4/6/16,6/6/16,Cycle Inspection / Initial Inspection
41395422,4/30/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,4/30/15,6/6/16,Cycle Inspection / Initial Inspection
41718170,9/18/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,9/18/14,6/6/16,Cycle Inspection / Re-inspection
41717628,12/10/14,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,A,2/3/15,6/6/16,Cycle Inspection / Initial Inspection
40931477,12/9/13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,12/9/13,6/6/16,Cycle Inspection / Re-inspection
41717914,6/19/13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/19/13,6/6/16,Pre-permit (Operational) / Re-inspection
40980650,1/2/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,C,3/25/15,6/6/16,Cycle Inspection / Initial Inspection
50037538,11/10/15,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,44,Z,5/31/16,6/6/16,Cycle Inspection / Initial Inspection
41664642,8/19/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,A,10/16/13,6/6/16,Cycle Inspection / Initial Inspection
40552366,5/21/13,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,21,A,3/2/15,6/6/16,Cycle Inspection / Initial Inspection
41459942,3/29/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,3/29/16,6/6/16,Cycle Inspection / Initial Inspection
41608836,7/22/15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,7/22/15,6/6/16,Cycle Inspection / Re-inspection
41569301,2/28/13,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10,A,6/29/13,6/6/16,Cycle Inspection / Initial Inspection
41459867,5/10/14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,31,A,5/28/14,6/6/16,Cycle Inspection / Initial Inspection
50033497,4/9/15,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,49,A,9/10/15,6/6/16,Pre-permit (Operational) / Initial Inspection
41299083,8/14/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,A,5/12/16,6/6/16,Cycle Inspection / Initial Inspection
40545938,11/24/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,11/24/15,6/6/16,Cycle Inspection / Initial Inspection
41694992,9/22/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,31,A,2/22/16,6/6/16,Cycle Inspection / Initial Inspection
40615828,12/17/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,12/17/15,6/6/16,Cycle Inspection / Initial Inspection
41603865,4/9/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,22,A,4/22/16,6/6/16,Cycle Inspection / Initial Inspection
50017709,4/14/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,16,B,4/14/15,6/6/16,Pre-permit (Operational) / Re-inspection
41129035,2/2/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,A,9/3/14,6/6/16,Cycle Inspection / Initial Inspection
41303170,7/10/13,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26,A,5/7/16,6/6/16,Cycle Inspection / Initial Inspection
40644352,4/20/16,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,19,A,1/31/15,6/6/16,Cycle Inspection / Initial Inspection
41478388,2/25/14,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,22,B,2/25/14,6/6/16,Cycle Inspection / Re-inspection
50039306,2/24/16,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,2/24/16,6/6/16,Pre-permit (Operational) / Re-inspection
50002460,5/21/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,13,A,5/21/14,6/6/16,Cycle Inspection / Re-inspection
41227884,1/27/16,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,5,A,1/27/16,6/6/16,Cycle Inspection / Initial Inspection
40885478,8/20/13,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,B,8/20/13,6/6/16,Cycle Inspection / Re-inspection
41695909,7/22/15,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,18,B,4/23/15,6/6/16,Cycle Inspection / Initial Inspection
40390902,4/25/13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,56,A,10/23/13,6/6/16,Cycle Inspection / Initial Inspection
