41250661,4/3/14,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,8,A,4/3/14,6/6/16,Cycle Inspection / Re-inspection
41096346,6/26/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,13,A,6/26/14,6/6/16,Cycle Inspection / Re-inspection
40836801,3/3/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,3/3/14,6/6/16,Cycle Inspection / Initial Inspection
50000577,3/28/16,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,17,A,5/15/14,6/6/16,Cycle Inspection / Initial Inspection
41020284,7/3/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,49,C,7/3/13,6/6/16,Cycle Inspection / Re-inspection
40859724,10/15/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,A,12/16/14,6/6/16,Cycle Inspection / Initial Inspection
41696881,4/27/15,Establishment re-closed by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,A,3/10/16,6/6/16,Cycle Inspection / Reopening Inspection
50003299,5/11/16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,5/11/16,6/6/16,Cycle Inspection / Re-inspection
41590644,4/25/14,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,4/25/14,6/6/16,Cycle Inspection / Initial Inspection
50015072,9/2/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,B,9/2/15,6/6/16,Cycle Inspection / Re-inspection
40760469,9/16/14,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,9/16/14,6/6/16,Cycle Inspection / Initial Inspection
41232708,2/1/16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,10,C,10/20/14,6/6/16,Cycle Inspection / Initial Inspection
40394357,7/29/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,9,A,7/29/13,6/6/16,Cycle Inspection / Re-inspection
41561225,11/14/13,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,11/14/13,6/6/16,Cycle Inspection / Re-inspection
41458413,4/18/15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,4/18/15,6/6/16,Cycle Inspection / Re-inspection
50006427,4/9/15,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,12,,,6/6/16,Cycle Inspection / Initial Inspection
50014974,9/29/14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,27,B,9/29/14,6/6/16,Pre-permit (Operational) / Re-inspection
41418153,9/15/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,9/15/14,6/6/16,Cycle Inspection / Initial Inspection
