50037129,9/23/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,,6/6/16,Cycle Inspection / Initial Inspection
40996642,4/26/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,C,8/20/15,6/6/16,Cycle Inspection / Initial Inspection
41619148,3/6/15,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,35,,,6/6/16,Cycle Inspection / Initial Inspection
41688594,11/18/15,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,29,A,4/15/15,6/6/16,Cycle Inspection / Initial Inspection
41189635,7/28/15,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,12,A,9/15/15,6/6/16,Administrative Miscellaneous / Re-inspection
40611192,2/19/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/19/15,6/6/16,Cycle Inspection / Re-inspection
41331356,7/20/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,15,A,4/23/14,6/6/16,Cycle Inspection / Initial Inspection
40383511,8/12/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,48,A,7/28/15,6/6/16,Cycle Inspection / Initial Inspection
41701548,2/25/14,No violations were recorded at the time of this inspection.,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Applicable,12,A,1/22/16,6/6/16,Administrative Miscellaneous / Compliance Inspection
41010148,12/9/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,A,5/5/14,6/6/16,Cycle Inspection / Initial Inspection
40728151,3/9/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,9,A,6/12/13,6/6/16,Cycle Inspection / Initial Inspection
41426887,10/26/13,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,21,A,3/11/15,6/6/16,Cycle Inspection / Initial Inspection
41149373,6/12/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,B,6/12/13,6/6/16,Cycle Inspection / Re-inspection
50007578,4/9/15,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,17,A,1/8/16,6/6/16,Cycle Inspection / Initial Inspection
41624716,7/10/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,A,4/3/13,6/6/16,Cycle Inspection / Initial Inspection
41267527,8/1/13,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,8/1/13,6/6/16,Cycle Inspection / Re-inspection
41274441,1/12/15,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,28,B,1/12/15,6/6/16,Cycle Inspection / Initial Inspection
50003152,5/14/15,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,8,A,7/28/15,6/6/16,Administrative Miscellaneous / Initial Inspection
40587400,10/10/14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,10/10/14,6/6/16,Cycle Inspection / Initial Inspection
41711778,10/26/15,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,7,A,10/26/15,6/6/16,Cycle Inspection / Re-inspection
41426303,6/19/14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,17,A,9/25/14,6/6/16,Cycle Inspection / Initial Inspection
