40576403,6/22/13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,25,A,4/22/16,6/6/16,Cycle Inspection / Initial Inspection
50002601,5/9/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,5/9/16,6/6/16,Cycle Inspection / Initial Inspection
41404065,5/8/15,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,6,A,5/8/15,6/6/16,Cycle Inspection / Initial Inspection
40607341,5/29/16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,B,1/16/13,6/6/16,Cycle Inspection / Initial Inspection
41696040,12/12/13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,12/12/13,6/6/16,Cycle Inspection / Initial Inspection
41250435,8/15/13,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,27,,,6/6/16,Cycle Inspection / Initial Inspection
41699085,7/27/13,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,22,Not Yet Graded,,6/6/16,Cycle Inspection / Initial Inspection
41008857,8/14/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,8/14/14,6/6/16,Cycle Inspection / Re-inspection
41628343,8/26/13,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,27,Not Yet Graded,,6/6/16,Cycle Inspection / Initial Inspection
41721259,12/11/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,12/11/15,6/6/16,Cycle Inspection / Re-inspection
41713384,12/15/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,12/15/15,6/6/16,Cycle Inspection / Initial Inspection
40654847,5/10/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,5/10/16,6/6/16,Cycle Inspection / Initial Inspection
41704649,3/13/14,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,44,C,4/24/14,6/6/16,Administrative Miscellaneous / Initial Inspection
41699100,3/24/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,3/24/16,6/6/16,Cycle Inspection / Initial Inspection
41629904,3/3/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,34,A,8/20/14,6/6/16,Cycle Inspection / Initial Inspection
50001754,7/2/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,14,B,7/2/14,6/6/16,Cycle Inspection / Re-inspection
41138026,10/2/13,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,10/2/13,6/6/16,Cycle Inspection / Initial Inspection
50001029,8/28/14,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8,A,8/28/14,6/6/16,Cycle Inspection / Re-inspection
41570540,3/27/13,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,3/27/13,6/6/16,Cycle Inspection / Re-inspection
41550237,2/12/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,A,1/8/14,6/6/16,Cycle Inspection / Initial Inspection
41183397,3/29/13,Establishment re-opened by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Not Applicable,0,P,3/29/13,6/6/16,Cycle Inspection / Reopening Inspection
41539257,4/28/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,31,,,6/6/16,Cycle Inspection / Initial Inspection
50011181,10/22/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,C,4/15/15,6/6/16,Cycle Inspection / Initial Inspection
41007766,2/2/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,B,2/2/15,6/6/16,Cycle Inspection / Re-inspection
41310341,10/5/14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,29,A,4/24/15,6/6/16,Inter-Agency Task Force / Initial Inspection
40692209,12/10/13,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,13,A,12/10/13,6/6/16,Cycle Inspection / Initial Inspection
41090020,10/2/13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,21,,,6/6/16,Cycle Inspection / Initial Inspection
