40994117,4/24/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,15,,,6/6/16,Cycle Inspection / Initial Inspection
41651670,9/9/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,,,6/6/16,Cycle Inspection / Initial Inspection
41111393,1/8/16,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,23,A,2/23/15,6/6/16,Cycle Inspection / Initial Inspection
41536647,9/5/13,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9,A,9/5/13,6/6/16,Cycle Inspection / Re-inspection
50000157,5/3/14,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,32,A,6/16/15,6/6/16,Pre-permit (Operational) / Initial Inspection
40786413,3/7/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/7/16,6/6/16,Cycle Inspection / Initial Inspection
50001751,11/6/13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,,,6/6/16,Cycle Inspection / Initial Inspection
40372445,7/10/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,32,C,7/10/14,6/6/16,Cycle Inspection / Re-inspection
41287813,3/18/14,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,13,A,3/18/14,6/6/16,Cycle Inspection / Initial Inspection
41620092,4/17/13,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,36,A,8/4/15,6/6/16,Cycle Inspection / Initial Inspection
41161706,11/12/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,11/12/14,6/6/16,Cycle Inspection / Re-inspection
41409894,2/15/13,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,46,,,6/6/16,Cycle Inspection / Initial Inspection
41187602,10/3/13,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,86,P,9/28/15,6/6/16,Cycle Inspection / Re-inspection
41643816,8/29/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/29/14,6/6/16,Cycle Inspection / Re-inspection
40993361,6/25/15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,19,,,6/6/16,Cycle Inspection / Initial Inspection
41589635,3/11/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/11/16,6/6/16,Cycle Inspection / Initial Inspection
41616526,10/27/15,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,51,,,6/6/16,Cycle Inspection / Re-inspection
50037739,3/3/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,,,6/6/16,Cycle Inspection / Initial Inspection
41655590,6/10/13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,6/10/13,6/6/16,Cycle Inspection / Re-inspection
40367232,1/7/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,1/7/15,6/6/16,Cycle Inspection / Initial Inspection
41344091,3/18/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,32,,,6/6/16,Cycle Inspection / Initial Inspection
41541795,5/31/13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,5/31/13,6/6/16,Cycle Inspection / Re-inspection
50016149,2/6/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140_ F.,Critical,19,B,2/6/15,6/6/16,Pre-permit (Operational) / Re-inspection
40727214,3/31/14,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,18,B,10/31/13,6/6/16,Cycle Inspection / Initial Inspection
41596870,3/10/14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,A,9/18/15,6/6/16,Cycle Inspection / Initial Inspection
41617766,6/4/13,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,13,A,6/4/13,6/6/16,Cycle Inspection / Re-inspection
41193088,3/2/15,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,5/27/16,6/6/16,Cycle Inspection / Reopening Inspection
40649377,9/10/13,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140_ F to 70_ F or less within 2 hours, and from 70_ F to 41_ F or less within 4 additional hours.",Critical,31,C,4/29/14,6/6/16,Cycle Inspection / Initial Inspection
40392622,1/14/15,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,28,A,5/5/16,6/6/16,Cycle Inspection / Initial Inspection
50011620,5/27/16,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,13,A,5/27/16,6/6/16,Cycle Inspection / Initial Inspection
40511577,7/26/14,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,35,A,12/30/14,6/6/16,Cycle Inspection / Initial Inspection
41683539,5/15/14,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,69,,,6/6/16,Cycle Inspection / Initial Inspection
41101845,10/22/13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,A,2/5/15,6/6/16,Cycle Inspection / Initial Inspection
50017059,12/22/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,,,6/6/16,Cycle Inspection / Initial Inspection
41428965,10/31/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,A,11/5/15,6/6/16,Cycle Inspection / Initial Inspection
