41247789,9/22/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,,,6/6/16,Cycle Inspection / Initial Inspection
40394749,2/18/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,,,6/6/16,Cycle Inspection / Initial Inspection
40585345,8/2/13,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,9,A,8/2/13,6/6/16,Cycle Inspection / Re-inspection
41686787,3/24/16,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,22,,,6/6/16,Cycle Inspection / Initial Inspection
50002574,12/18/13,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,30,,,6/6/16,Pre-permit (Operational) / Initial Inspection
41403621,3/18/14,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,6/6/16,Administrative Miscellaneous / Initial Inspection
50005642,5/26/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,6/6/16,Cycle Inspection / Initial Inspection
41277451,9/13/13,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,24,,,6/6/16,Cycle Inspection / Initial Inspection
41086967,6/8/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,6/6/16,Cycle Inspection / Initial Inspection
41655396,9/24/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,,,6/6/16,Cycle Inspection / Initial Inspection
41539265,3/19/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,,,6/6/16,Cycle Inspection / Initial Inspection
41692194,7/11/14,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,43,C,7/11/14,6/6/16,Cycle Inspection / Re-inspection
50038614,12/17/15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,32,,,6/6/16,Pre-permit (Operational) / Initial Inspection
40542546,1/21/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,,,6/6/16,Cycle Inspection / Initial Inspection
41529712,4/16/15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,,6/6/16,Cycle Inspection / Initial Inspection
40393181,10/8/13,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,28,,,6/6/16,Cycle Inspection / Initial Inspection
41200490,6/26/13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,6/26/13,6/6/16,Cycle Inspection / Re-inspection
50006542,4/9/14,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,48,,,6/6/16,Pre-permit (Operational) / Initial Inspection
40597763,8/22/13,Violations were cited in the following area(s).,02G,Cold food item held above 41_ F (smoked fish and reduced oxygen packaged foods above 38 ) except during necessary preparation.,Critical,42,,,6/6/16,Cycle Inspection / Initial Inspection
